id,cd_setor,cod_ibge,cd_uf,total_population,avg_income,pct_u20,pct_o60,pct_wy,pct_bbi,pct_lit,pct_pip,pct_sew,pct_gar,pct_slight,pct_paved,pct_tree,pct_drain,pct_swalk,pct_whcair,pct_bus,igni,ehtd,eprd,edrm,city_type,CRI
0,110020505000007,110020.0,11.0,888.0,1696.27,34.12162162162162,8.783783783783784,25.11261261261261,,,96.72727272727272,0.0,100.0,100.0,100.0,50.54545454545455,26.181818181818183,100.0,0.0,0.7272727272727273,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.2152793131957421
2,110020505000012,110020.0,11.0,1968.0,1414.44,38.00813008130081,5.640243902439025,18.75,81.25000000000001,68.14024390243902,99.21259842519684,18.26771653543307,,99.68503937007874,90.39370078740156,29.29133858267717,85.66929133858268,82.67716535433071,10.857142857142858,3.779527559055118,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.2066423903950121
3,110020505000012,110020.0,11.0,1968.0,1414.44,38.00813008130081,5.640243902439025,18.75,81.25000000000001,68.14024390243902,99.21259842519684,18.26771653543307,,99.68503937007874,90.39370078740156,29.29133858267717,85.66929133858268,82.67716535433071,10.857142857142858,3.779527559055118,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.2066423903950121
4,110020505000136,110020.0,11.0,565.0,1400.52,39.469026548672566,3.3628318584070795,21.061946902654867,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.3206179865001641
7,110020505000136,110020.0,11.0,565.0,1400.52,39.469026548672566,3.3628318584070795,21.061946902654867,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.3206179865001641
8,110020505000136,110020.0,11.0,565.0,1400.52,39.469026548672566,3.3628318584070795,21.061946902654867,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.3206179865001641
5,110020505000177,110020.0,11.0,596.0,1417.03,40.77181208053691,4.697986577181208,15.268456375838928,84.73154362416109,,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.2346581002527473
9,110020505000156,110020.0,11.0,537.0,1663.48,37.43016759776536,3.538175046554935,24.953445065176908,75.0465549348231,,100.0,22.96650717703349,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.9333333333333332,0.3333333333333333,3.733333333333333,0.0666666666666666,Capital Regional,0.3343276600472608
12,110020505000157,110020.0,11.0,612.0,1231.35,38.39869281045752,4.084967320261438,,73.52941176470587,67.97385620915033,100.0,99.52153110047848,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.9333333333333332,0.2,3.733333333333333,0.0666666666666666,Capital Regional,0.3666987564956285
13,110020505000173,110020.0,11.0,1645.0,1629.07,35.744680851063826,6.990881458966565,18.237082066869306,81.76291793313071,70.51671732522796,97.20149253731344,16.791044776119403,100.0,100.0,34.701492537313435,92.72388059701493,27.42537313432836,47.014925373134325,0.0,3.544776119402985,0.9333333333333332,0.3333333333333333,3.733333333333333,0.0666666666666666,Capital Regional,0.1547296408994556
