id,data_referencia,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado,txt_cnpj_construtora_entidade,txt_nome_construtora_entidade,txt_endereco,txt_cep,year,addr2geocode,city_type,fmtd_addr,lat,lng
3573,30/09/2024,210232,Buriticupu ,MA,Nordeste,2012-11-12,39094227,RESIDENCIAL ECO BURITICUPU ETAPA 2,CAIXA,FAR,Concluído,500,500.0,0,0,28.437.466,"28.437.465,01",3022252000100.0,JEOVA BARBOSA ENGENHARIA LTDA,BR 222 AV JOAO PAULO II BAIRRO VILA DAVI,65076000.0,2012,"RESIDENCIAL ECO BURITICUPU ETAPA 2, BR 222 AV JOAO PAULO II BAIRRO VILA DAVI, Buriticupu , MA 65076000",Centro Local,"Buriticupu - State of Maranhão, 65393-000, Brazil",-4.3409172,-46.4302219
3574,30/09/2024,210232,Buriticupu ,MA,Nordeste,2013-05-31,40158996,RESIDENCIAL NOVA BURITICUPU 1,CAIXA,FAR,Concluído,500,500.0,0,0,28.250.370,"28.250.369,06",7151972000126.0,CAXIAS CONSTRUÑES E EMPREENDIMENTOS LTDA - ME,BR 222 S/N - SAGRIMA,65393000.0,2013,"JHXH+79, Buriticupu - MA, 65393-000, Brazil",Centro Local,"JHXH+79, Buriticupu - MA, 65393-000, Brazil",-4.351812499999999,-46.4215625
3575,30/09/2024,330555,Seropédica ,RJ,Sudeste,2010-02-12,27002362,CONDOMINIO RESIDENCIAL JARDIM DAS ACACIAS,CAIXA,FAR,Concluído,327,327.0,0,0,14.938.580,"14.938.579,68",38838405000176.0,SETA CONSTRUCOES E COMERCIO LTDA,RODOVIA BR 465 - LOTE 2,,2010,"Estr. Rio São Paulo, 728 - Boa Esperança, Seropédica - RJ, 23890-000, Brazil",Centro Local,"Estr. Rio São Paulo, 728 - Boa Esperança, Seropédica - RJ, 23890-000, Brazil",-22.722378,-43.7205924
3576,30/09/2024,330555,Seropédica ,RJ,Sudeste,2010-02-12,27002476,CONDOMINIO RESIDENCIAL PARQUE DAS FLORES,CAIXA,FAR,Concluído,319,319.0,0,0,14.573.244,"14.573.244,49",38838405000176.0,SETA CONSTRUCOES E COMERCIO LTDA,RODOVIA BR 465 LOTE 1,,2010,"77HH+R4C - Ibituporanga, Itaguaí - RJ, Brazil",Centro Local,"77HH+R4C - Caçador, Itaguaí - RJ, Brazil",-22.7204375,-43.7222344
3577,30/09/2024,520025,Águas Lindas de Goiás ,GO,Centro-Oeste,2009-05-08,26418260,RESIDENCIAL BETEL,CAIXA,FAR,Concluído,199,199.0,0,0,6.567.000,"6.567.000,01",22610612000139.0,CONSTRUTORA DAVILA REIS LTDA,RUA MARSELHA S/N BAIRRO JARDIM PLANALTO II AGUAS LINDAS,,2009,"RESIDENCIAL BETEL, RUA MARSELHA S/N BAIRRO JARDIM PLANALTO II AGUAS LINDAS, Águas Lindas de Goiás , GO",Centro Local,"Águas Lindas de Goiás, GO, Brazil",-15.7442065,-48.2794916
3578,30/09/2024,520025,Águas Lindas de Goiás ,GO,Centro-Oeste,2010-01-13,29558484,RESIDENCIAL BETHEL II,CAIXA,FAR,Concluído,104,104.0,0,0,4.056.000,4.056.000,22610612000139.0,CONSTRUTORA DAVILA REIS LTDA,"LOTEAMENTO BETHEL QD A,B,C,D,E,K,L",,2010,"RESIDENCIAL BETHEL II, LOTEAMENTO BETHEL QD A,B,C,D,E,K,L, Águas Lindas de Goiás , GO",Centro Local,"Águas Lindas de Goiás, GO, Brazil",-15.7442065,-48.2794916
3579,30/09/2024,170030,Aguiarnópolis ,TO,Norte,2012-05-16,35933854,CASAS POPULARES SAO JOAO BATISTA,CAIXA,FAR,Concluído,40,40.0,0,0,1.812.400,1.812.400,2582819000130.0,TALISMA CONSTRUTORA E INCORPORADORA LTDA.,LOTEAMENTO SAO JOAO BATISTA,77908000.0,2012,"CASAS POPULARES SAO JOAO BATISTA, LOTEAMENTO SAO JOAO BATISTA, Aguiarnópolis , TO 77908000",Centro Local,"Aguiarnópolis, TO, 77908-000, Brazil",-6.5595789,-47.47545750000001
3580,30/09/2024,291955,Luís Eduardo Magalhães ,BA,Nordeste,2012-03-30,35220387,SOLAR DOS BURITIS-1A ETAPA,CAIXA,FAR,Concluído,500,500.0,0,0,25.000.000,25.000.000,6316878000117.0,ATRIUM CONSTRUCOES E EMPREENDIMENTOS LTDA,AVENIDA ACM,,2012,"W7PM+G3, Luís Eduardo Magalhães - BA, 47850-000, Brazil",Centro Sub-Regional,"W7PM+G3, Luís Eduardo Magalhães - BA, 47850-000, Brazil",-12.0636875,-45.7173125
3582,30/09/2024,291955,Luís Eduardo Magalhães ,BA,Nordeste,2013-05-29,40659927,LOTEAMENTO SOL DO CERRADO I. II E III,CAIXA,FAR,Concluído,900,900.0,0,0,54.000.000,54.000.000,7478417000103.0,METRO ENGENHARIA E CONSULTORIA LTDA,"ALAMEDA DOS BURITIS, QD 01 A 13",,2013,"W7QJ+56, Luís Eduardo Magalhães - BA, 47850-000, Brazil",Centro Sub-Regional,"W7QJ+56, Luís Eduardo Magalhães - BA, 47850-000, Brazil",-12.0620625,-45.71943750000001
3584,30/09/2024,291955,Luís Eduardo Magalhães ,BA,Nordeste,2013-12-26,42295022,RESIDENCIAL VISTA ALEGRE,CAIXA,FAR,Concluído,600,600.0,0,0,36.000.000,36.000.000,7478417000103.0,METRO ENGENHARIA E CONSULTORIA LTDA,BR 242 - FAZENDA ALELUIA,,2013,"V5W9+7G, Luís Eduardo Magalhães - BA, 47850-000, Brazil",Centro Sub-Regional,"V5W9+7G, Luís Eduardo Magalhães - BA, 47850-000, Brazil",-12.1043125,-45.8311875
